域名,NDS查询次数,错误次数,错误率
www.baidu.com,64194,0,0%
www.suning.com,64027,0,0%
www.hao123.com,63993,0,0%
www.sina.com.cn,63923,0,0%
www.qq.com,63870,0,0%
83.137.148.117.in-addr.arpa,63743,63743,1%
150.87.13.3.in-addr.arpa,63678,0,0%
www.test909xx.com,63587,63587,1%
161.175.148.117.in-addr.arpa,63574,63574,1%
www.ifeng.com,63540,0,0%
www.sohu.com,63525,0,0%
hz.58.com,63517,0,0%
www.test707xx.com,63491,63491,1%
www.163.com,63491,0,0%
158.87.13.112.in-addr.arpa,63478,63478,1%
www.test808xx.com,63457,63457,1%
122.20.55.5.in-addr.arpa,63456,0,0%
tuijian.hao123.com,63403,0,0%
www.jd.com,63364,0,0%
www.eastmoney.com,63354,0,0%
www.taobao.com,63278,0,0%
www.qunar.com,63213,0,0%
100.87.13.112.in-addr.arpa,63212,63212,1%
www.zhihu.com,63163,0,0%
3.200.168.192.in-addr.arpa,62,62,1%
